size,oblas,naive,p+naive,switch,p+switch,trans,p+trans,block8,block16,p+block8,p+block16,s+block8,s+block16,p+s+block8,p+s+block16,p+s+block32
2,66631.5;66431.5,70.5;0.5,410140;408416,85.5;25.5,2710.5;245.5,756.5;646.5,2695.5;220.5,140.5;70.5,40;10,2715.5;140.5,2554.5;210.5,175.5;135.5,35;5,1242.5;20.5,1267.5;35.5,1237;5
4,441;331,100;20,1257.5;25.5,95.5;35.5,2775;10,150;50,2475;100,100.5;30.5,60;0,2510;25,2550;65,105;25,75;5,1287.5;4.5,1232.5;40.5,1217.5;24.5
8,706.5;516.5,380.5;9.5,1362.5;160.5,310.5;80.5,2620;156,380.5;130.5,2550;85,280.5;50.5,255.5;24.5,2745;130,2619.5;5.5,2184;1723,400.5;19.5,1553;341,1287;45,1262.5;29.5
16,606.5;225.5,2770;15,1918.5;195.5,1598;145,3351.5;15.5,2384.5;811.5,3356;251,1568;45,1533;40,4593.5;215.5,3627;90,3081;45,2635;892,2570;366,5951.5;3356.5,1628.5;35.5
32,3191;1377,21320.5;9.5,5676;225,10569.5;180.5,6963;190,14713;1418,7178.5;105.5,12639;235,11732.5;30.5,10760.5;320.5,17473;551,23650;246,13004.5;69.5,6482.5;310.5,15073.5;315.5,16211;3737
64,13170;3181,174858;2169.5,17082.5;1302.5,81960.5;796.5,17498;2309,115429;4739,18004.5;1953.5,99458.5;551.5,93668;30,16236;296,27302;391,187336;370,100702;29.5,9338;80,23054;100,46588.5;390.5
128,67037.5;470.5,1.46757e+06;2600.5,159583;7945,720274;1107.5,106728;486,1.24257e+06;8441,103172;145.5,826556;686,772192;6847.5,72733;3041,95416.5;285.5,1.5562e+06;19857.5,767839;51918,120850;68740.5,805200;363871,195196;5997
256,540366;35587.5,2.65779e+07;711061,1.86624e+06;431921,5.69524e+06;467808,906337;242376,9.77987e+06;513726,1.07618e+06;410705,5.23616e+06;870339,5.18778e+06;33138.5,980789;253116,1.22487e+06;184581,8.90012e+06;1.27913e+06,5.06846e+06;19286,662974;268344,487372;23379.5,967102;77341.5
512,4.0004e+06;89049.5,7.03396e+08;168658,4.88503e+07;449890,4.2974e+07;7459.5,8.57054e+06;216381,8.16164e+07;2.76393e+06,7.11381e+06;495722,6.07965e+07;629015,1.23651e+08;754028,1.94203e+07;610014,2.26938e+07;674746,6.66863e+07;1.56633e+06,4.1693e+07;27107,4.79633e+06;27733,5.13198e+06;209464,4.67423e+06;26901.5
1024,3.2218e+07;220890,5.91913e+09;8.73961e+07,4.64302e+08;914072,3.33577e+08;57754.5,6.05425e+07;5681,6.38534e+08;2.13858e+06,5.55064e+07;117984,4.91789e+08;1.12154e+06,1.00787e+09;2.7764e+06,1.43858e+08;658726,1.74983e+08;961542,5.20146e+08;1.10935e+07,3.37118e+08;3.0166e+06,3.9303e+07;2.79296e+06,4.06451e+07;878834,4.13113e+07;1.4002e+06
